FrameNo., POC, Slice, SliceQP, AvgQP, MaxQP, MinQP, PSNR-YUV, PSNR-Prev, PSNR-Avg, SSIM-YUV, SSIM-Prev, SSIM-Avg, Bits, Bits-Avg, Bits-FRMAvg, GOP-GOPAvg, CPB Full, CPB CHK, SAOBits, HdrBits, DataBits
CPB Max Size: 0.00 Kbits
Target Rate of GOP(25): 0.00 Kbits
Total CPB Overflow Counts = 0
Total CPB Underflow Counts = 50
AVBR Estimated File Size: 0.00 Kbits
AVBR Actual File Size: 3908.46 Kbits
AVBR File Size Diff: +inf%
Average Flicker: 0

, MAX, MIN, AVG, STD
QP, 37, 37, 0, 0
PSNR-YUV, 37.41, 35.39, 36.49, 0.49, dB
SSIM-YUV, 0.0000, 0.0000, 0.0000, 0.0000
GOP Rate, 2093.08, 1815.38, 1954.23, 138.85, KBits
FRM Rate, 170.46, 58.71, 78.17, 16.25, KBits

